Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Uttar Pradesh, 31-08-2020, M, 5.79, 55831744.00, 35.96
Uttarakhand, 31-03-2020, M, 19.85, 2539302.00, 36.27
Uttarakhand, 30-04-2020, M, 6.48, 2720115.00, 33.23
Uttarakhand, 31-05-2020, M, 8.01, 2694072.00, 33.38
Uttarakhand, 30-06-2020, M, 8.70, 2664911.00, 33.20
Uttarakhand, 31-07-2020, M, 12.38, 2938552.00, 38.07
Uttarakhand, 31-08-2020, M, 14.26, 2717528.00, 35.90
West Bengal, 31-03-2020, M, 6.92, 35903917.00, 47.27
West Bengal, 30-04-2020, M, 17.41, 26938836.00, 39.90
West Bengal, 31-05-2020, M, 17.41, 28356675.00, 41.92
West Bengal, 30-06-2020, M, 6.47, 30314818.00, 39.50
West Bengal, 31-07-2020, M, 6.79, 35377750.00, 46.17
West Bengal, 31-08-2020, M, 14.87, 33298644.00, 47.48
India, 31-03-2020, M, 8.75, 395840756.00, 41.90
India, 30-04-2020, M, 23.52, 282203816.00, 35.57
India, 31-05-2020, M, 23.48, 303372839.00, 38.15
India, 30-06-2020, M, 10.99, 373848963.00, 40.33
India, 31-07-2020, M, 7.43, 392719804.00, 40.66
India, 31-08-2020, M, 8.35, 392520303.00, 40.96
