Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Rajasthan, 30-06-2020, M, 13.04, 5275784.00, 39.26
Rajasthan, 31-07-2020, M, 18.51, 5223706.00, 41.38
Rajasthan, 31-08-2020, M, 25.02, 4977433.00, 42.75
Sikkim, 31-03-2020, M, 20.45, 86186.00, 50.57
Sikkim, 30-04-2020, M, 5.77, 81905.00, 40.31
Sikkim, 31-05-2020, M, 19.75, 75456.00, 43.32
Sikkim, 30-06-2020, M, 2.63, 76269.00, 35.85
Sikkim, 31-07-2020, M, 3.33, 101262.00, 47.62
Sikkim, 31-08-2020, M, 12.12, 83959.00, 43.14
Tamil Nadu, 31-03-2020, M, 6.46, 10982178.00, 36.17
Tamil Nadu, 30-04-2020, M, 45.55, 4632967.00, 26.17
Tamil Nadu, 31-05-2020, M, 25.95, 5733921.00, 23.77
Tamil Nadu, 30-06-2020, M, 24.93, 7741005.00, 31.60
Tamil Nadu, 31-07-2020, M, 10.84, 10213292.00, 35.04
Tamil Nadu, 31-08-2020, M, 3.61, 12603552.00, 39.93
Telangana, 31-03-2020, M, 6.10, 5313236.00, 43.65
Telangana, 30-04-2020, M, 10.50, 3378431.00, 29.05
Telangana, 31-05-2020, M, 36.57, 3108830.00, 37.63
Telangana, 30-06-2020, M, 6.92, 4577995.00, 37.68
Telangana, 31-07-2020, M, 2.19, 5819140.00, 45.47
Telangana, 31-08-2020, M, 1.95, 4577039.00, 35.59
Tripura, 31-03-2020, M, 25.69, 450271.00, 63.56
Tripura, 30-04-2020, M, 34.88, 296431.00, 47.65
Tripura, 31-05-2020, M, 16.78, 384999.00, 48.31
Tripura, 30-06-2020, M, 27.47, 391015.00, 56.17
Tripura, 31-07-2020, M, 24.88, 362177.00, 50.12
Tripura, 31-08-2020, M, 29.24, 348517.00, 51.08
Uttar Pradesh, 31-03-2020, M, 12.32, 13889632.00, 40.00
Uttar Pradesh, 30-04-2020, M, 26.94, 10944379.00, 37.74
Uttar Pradesh, 31-05-2020, M, 32.06, 11111486.00, 41.10
Uttar Pradesh, 30-06-2020, M, 13.05, 13208724.00, 38.09
Uttar Pradesh, 31-07-2020, M, 9.46, 12874444.00, 35.57
Uttar Pradesh, 31-08-2020, M, 6.11, 12846321.00, 34.15
Uttarakhand, 31-03-2020, M, 8.15, 889245.00, 33.33
Uttarakhand, 30-04-2020, M, 13.18, 748041.00, 29.59
Uttarakhand, 31-05-2020, M, 17.36, 778590.00, 32.27
Uttarakhand, 30-06-2020, M, 5.08, 989470.00, 35.61
Uttarakhand, 31-07-2020, M, 18.59, 829353.00, 34.71
Uttarakhand, 31-08-2020, M, 20.06, 810394.00, 34.45
West Bengal, 31-03-2020, M, 6.67, 10806105.00, 43.34
West Bengal, 30-04-2020, M, 15.63, 9299466.00, 41.20
West Bengal, 31-05-2020, M, 15.22, 9240903.00, 40.67
West Bengal, 30-06-2020, M, 9.86, 9088931.00, 37.57
West Bengal, 31-07-2020, M, 12.71, 9538312.00, 40.64
West Bengal, 31-08-2020, M, 18.66, 10022478.00, 45.76
India, 31-03-2020, M, 9.41, 125503217.00, 39.70
India, 30-04-2020, M, 24.95, 85198095.00, 32.47
India, 31-05-2020, M, 25.79, 89398995.00, 34.38
India, 30-06-2020, M, 12.02, 116560856.00, 37.73
India, 31-07-2020, M, 9.15, 120356634.00, 37.64
India, 31-08-2020, M, 9.83, 123799505.00, 38.93
